textid,label
1,surprise
2,joy
3,joy
4,joy
5,joy
6,sad
7,surprise
8,sad
9,surprise
10,joy
11,sad
12,surprise
13,fear
14,sad
15,fear
16,fear
17,joy
18,sad
19,joy
20,fear
21,fear
22,joy
23,sad
24,surprise
25,joy
26,fear
27,joy
28,joy
29,fear
30,sad
31,joy
32,joy
33,joy
34,fear
35,joy
36,joy
37,fear
38,surprise
39,anger
40,fear
41,joy
42,fear
43,joy
44,disgust
45,fear
46,joy
47,joy
48,joy
49,sad
50,fear
51,joy
52,joy
53,surprise
54,joy
55,fear
56,disgust
57,sad
58,sad
59,joy
60,anger
61,joy
62,joy
63,joy
64,fear
65,anger
66,joy
67,joy
68,joy
69,sad
70,fear
71,joy
72,joy
73,sad
74,sad
75,fear
76,surprise
77,fear
78,joy
79,joy
80,joy
81,joy
82,sad
83,joy
84,fear
85,sad
86,joy
87,fear
88,joy
89,joy
90,sad
91,joy
92,fear
93,joy
94,fear
95,fear
96,sad
97,joy
98,sad
99,surprise
100,joy
101,joy
102,joy
103,sad
104,joy
105,fear
106,sad
107,joy
108,surprise
109,joy
110,joy
111,joy
112,fear
113,joy
114,fear
115,fear
116,joy
117,fear
118,joy
119,anger
120,fear
121,joy
122,sad
123,joy
124,fear
125,joy
126,fear
127,joy
128,fear
129,joy
130,surprise
131,joy
132,joy
133,fear
134,sad
135,joy
136,joy
137,disgust
138,surprise
139,joy
140,joy
141,joy
142,sad
143,joy
144,sad
145,sad
146,joy
147,surprise
148,joy
149,fear
150,sad
151,fear
152,joy
153,joy
154,surprise
155,fear
156,joy
157,joy
158,surprise
159,joy
160,fear
161,joy
162,disgust
163,sad
164,fear
165,surprise
166,joy
167,joy
168,joy
169,sad
170,joy
171,fear
172,joy
173,joy
174,fear
175,sad
176,joy
177,fear
178,joy
179,joy
180,joy
181,fear
182,surprise
183,fear
184,sad
185,fear
186,joy
187,sad
188,joy
189,joy
190,sad
191,joy
192,joy
193,joy
194,sad
195,anger
196,surprise
197,sad
198,sad
199,fear
200,fear
201,joy
202,fear
203,fear
204,fear
205,joy
206,joy
207,fear
208,anger
209,joy
210,anger
211,joy
212,joy
213,fear
214,fear
215,joy
216,joy
217,joy
218,fear
219,fear
220,joy
221,joy
222,surprise
223,fear
224,joy
225,fear
226,joy
227,joy
228,joy
229,joy
230,joy
231,anger
232,joy
233,joy
234,sad
235,fear
236,joy
237,sad
238,sad
239,joy
240,joy
241,surprise
242,joy
243,anger
244,joy
245,disgust
246,sad
247,joy
248,fear
249,joy
250,surprise
251,joy
252,joy
253,joy
254,fear
255,fear
256,sad
257,sad
258,surprise
259,fear
260,surprise
261,sad
262,surprise
263,joy
264,joy
265,surprise
266,surprise
267,sad
268,disgust
269,surprise
270,fear
271,fear
272,joy
273,fear
274,joy
275,joy
276,fear
277,joy
278,sad
279,fear
280,fear
281,sad
282,sad
283,anger
284,joy
285,joy
286,fear
287,sad
288,joy
289,sad
290,joy
291,fear
292,disgust
293,fear
294,fear
295,surprise
296,joy
297,fear
298,fear
299,anger
300,fear
301,joy
302,fear
303,joy
304,sad
305,joy
306,joy
307,surprise
308,joy
309,fear
310,fear
311,sad
312,joy
